Field_1,Grouping_sku_name_new,volume_bottle_per_POS_month_imp,Brand_Group_Final,Producer,Material,Flavor,Multiserve_Flag,Sugar_Level,Category,Size_Group,Price_Lit_Group
66,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA BEBERE FRUT BOTELLA 351 - 500,1148.333333,BEBERE FRUT,COCA COLA,BOTELLA,0,PERSONAL,0,NARANJADAS,351 - 500,6 a 10
67,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 1501 - 2000,6881.666667,VALLE FRUT,COCA COLA,BOTELLA,0,PERSONAL,0,NARANJADAS,1501 - 2000,11 a 18
68,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 2001 O MAS,7160,VALLE FRUT,COCA COLA,BOTELLA,0,FAMILIAR,0,NARANJADAS,2001 O MAS,19 a 207
69,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 351 - 500,1213.333333,VALLE FRUT,COCA COLA,BOTELLA,0,PERSONAL,0,NARANJADAS,351 - 500,6 a 10
70,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 501 - 750,3410,VALLE FRUT,COCA COLA,BOTELLA,0,PERSONAL,0,NARANJADAS,501 - 750,6 a 10
71,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS COCA COLA VALLE FRUT CITRICO BOTELLA 751 - 1000,3781.666667,VALLE FRUT,COCA COLA,BOTELLA,0,PERSONAL,0,NARANJADAS,751 - 1000,11 a 18
72,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI BOTELLA 1501 - 2000,470,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,NARANJADAS,1501 - 2000,11 a 18
73,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI BOTELLA 2001 O MAS,4226.666667,JUMEX,JUMEX,BOTELLA,0,FAMILIAR,0,NARANJADAS,2001 O MAS,19 a 207
74,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI BOTELLA 351 - 500,1451.666667,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,NARANJADAS,351 - 500,6 a 10
75,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS JUMEX JUMEX AMI LATA 501 - 750,1495,JUMEX,JUMEX,LATA,0,PERSONAL,0,NARANJADAS,501 - 750,6 a 10
